name,sixth_median,sixth_stddev,gcc_median,gcc_stddev,ratio,result
abundant,-1,-1,-1,-1,-1,sixth-fail
ack,3.440724997,0.035506,.712368917,0.0179357,4.8299,LOSS
ackmed,-1,-1,-1,-1,-1,sixth-fail
acksmall,-1,-1,-1,-1,-1,sixth-fail
adler32,-1,-1,-1,-1,-1,sixth-fail
againloop,-1,-1,-1,-1,-1,sixth-fail
alias1,-1,-1,-1,-1,-1,sixth-fail
alias2,-1,-1,-1,-1,-1,sixth-fail
amicable,-1,-1,-1,-1,-1,sixth-fail
anagram,-1,-1,-1,-1,-1,sixth-fail
arith,-1,-1,-1,-1,-1,sixth-fail
avlinsert,-1,-1,-1,-1,-1,sixth-fail
bellman,-1,-1,-1,-1,-1,sixth-fail
bfs,-1,-1,-1,-1,-1,sixth-fail
binarysearch,-1,-1,-1,-1,-1,sixth-fail
binsearch,-1,-1,-1,-1,-1,sixth-fail
binsplit,-1,-1,-1,-1,-1,sixth-fail
bitrev,-1,-1,-1,-1,-1,sixth-fail
bitscan,-1,-1,-1,-1,-1,sixth-fail
bottles,-1,-1,-1,-1,-1,sixth-fail
branch1,-1,-1,-1,-1,-1,sixth-fail
branch2,-1,-1,-1,-1,-1,sixth-fail
bstdelete,-1,-1,-1,-1,-1,sixth-fail
bstfind,-1,-1,-1,-1,-1,sixth-fail
bstinsert,-1,-1,-1,-1,-1,sixth-fail
bubblesort,-1,-1,-1,-1,-1,sixth-fail
bucketsort,-1,-1,-1,-1,-1,sixth-fail
bytesum,-1,-1,-1,-1,-1,sixth-fail
caesar,-1,-1,-1,-1,-1,sixth-fail
call,-1,-1,-1,-1,-1,sixth-fail
catalan,-1,-1,-1,-1,-1,sixth-fail
cmp,-1,-1,-1,-1,-1,sixth-fail
collatz,-1,-1,-1,-1,-1,sixth-fail
combine,-1,-1,-1,-1,-1,sixth-fail
constprop1,-1,-1,-1,-1,-1,sixth-fail
constprop2,-1,-1,-1,-1,-1,sixth-fail
countdown,-1,-1,-1,-1,-1,sixth-fail
countingsort,-1,-1,-1,-1,-1,sixth-fail
countup,-1,-1,-1,-1,-1,sixth-fail
crc32,-1,-1,-1,-1,-1,sixth-fail
crosssum,-1,-1,-1,-1,-1,sixth-fail
crt,-1,-1,-1,-1,-1,sixth-fail
cse1,-1,-1,-1,-1,-1,sixth-fail
cse2,-1,-1,-1,-1,-1,sixth-fail
ctrl,-1,-1,-1,-1,-1,sixth-fail
deadcode1,-1,-1,-1,-1,-1,sixth-fail
deadcode2,-1,-1,-1,-1,-1,sixth-fail
deep,-1,-1,-1,-1,-1,sixth-fail
deficient,-1,-1,-1,-1,-1,sixth-fail
depth1,-1,-1,-1,-1,-1,sixth-fail
depth2,-1,-1,-1,-1,-1,sixth-fail
depth3,-1,-1,-1,-1,-1,sixth-fail
depth4,-1,-1,-1,-1,-1,sixth-fail
depth5,-1,-1,-1,-1,-1,sixth-fail
depth6,-1,-1,-1,-1,-1,sixth-fail
depth7,-1,-1,-1,-1,-1,sixth-fail
depth8,-1,-1,-1,-1,-1,sixth-fail
depthvar,-1,-1,-1,-1,-1,sixth-fail
dfs,-1,-1,-1,-1,-1,sixth-fail
digitalroot,-1,-1,-1,-1,-1,sixth-fail
dijkstra,-1,-1,-1,-1,-1,sixth-fail
doloop1,-1,-1,-1,-1,-1,sixth-fail
doloop2,-1,-1,-1,-1,-1,sixth-fail
doloop3,-1,-1,-1,-1,-1,sixth-fail
doloop4,-1,-1,-1,-1,-1,sixth-fail
doloop5,-1,-1,-1,-1,-1,sixth-fail
dotprod,-1,-1,-1,-1,-1,sixth-fail
double,-1,-1,-1,-1,-1,sixth-fail
dupn,-1,-1,-1,-1,-1,sixth-fail
factorial,-1,-1,-1,-1,-1,sixth-fail
factors,-1,-1,-1,-1,-1,sixth-fail
fft,-1,-1,-1,-1,-1,sixth-fail
fib40,-1,-1,-1,-1,-1,sixth-fail
fibmemo,-1,-1,-1,-1,-1,sixth-fail
fibonacci,-1,-1,-1,-1,-1,sixth-fail
fibrec,-1,-1,-1,-1,-1,sixth-fail
fizzbuzz,-1,-1,-1,-1,-1,sixth-fail
fletcher16,-1,-1,-1,-1,-1,sixth-fail
floyd,-1,-1,-1,-1,-1,sixth-fail
fold,-1,-1,-1,-1,-1,sixth-fail
gcd,-1,-1,-1,-1,-1,sixth-fail
gcdloop,-1,-1,-1,-1,-1,sixth-fail
graycode,-1,-1,-1,-1,-1,sixth-fail
hailstone,-1,-1,-1,-1,-1,sixth-fail
hamming,-1,-1,-1,-1,-1,sixth-fail
hanoi,-1,-1,-1,-1,-1,output-fail
happy,-1,-1,-1,-1,-1,output-fail
hashprobe,-1,-1,-1,-1,-1,output-fail
heapify,-1,-1,-1,-1,-1,output-fail
heappop,-1,-1,-1,-1,-1,output-fail
heappush,-1,-1,-1,-1,-1,output-fail
heapsort,-1,-1,-1,-1,-1,sixth-fail
inline1,-1,-1,-1,-1,-1,output-fail
inline2,-1,-1,-1,-1,-1,output-fail
inline3,-1,-1,-1,-1,-1,output-fail
